#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-17T13:40:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-17T13:40:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table2&-out.max=10000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table2:
#Name: J/AJ/152/157/table2
#Title: Mass models
#Column	Name	(a11)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	Rad	(F6.2)	[0.08/108.31] Galactocentric radius	[ucd=phys.size.radius;pos.galactocentric]
#Column	Vobs	(F6.2)	[1.4/383] Observed circular velocity (V_obs_)	[ucd=phys.veloc]
#Column	e_Vobs	(F5.2)	[0.2/75] Uncertainty in Vobs (1)	[ucd=stat.error]
#Column	Vgas	(F6.2)	[-17/87] Gas velocity contribution (V_gas_) (2)	[ucd=phys.veloc]
#Column	Vdisk	(F6.2)	[1/372] Disk velocity contribution V_disk_ (3)	[ucd=phys.veloc]
#Column	SBdisk	(F7.2)	[0/7394] Disk surface brightness {Sigma}_disk_	[ucd=phot.flux.sb]
Name	Dist	Rad	Vobs	e_Vobs	Vgas	Vdisk	SBdisk
 	Mpc	kpc	km/s	km/s	km/s	km/s	Lsun/pc2
-----------	------	------	------	-----	------	------	-------
CamB       	  3.36	  0.16	  1.99	 1.50	  1.86	  3.75	  30.32
CamB       	  3.36	  0.41	  4.84	 1.50	  4.24	  9.47	  23.77
CamB       	  3.36	  0.57	  6.79	 1.50	  5.61	 11.76	  15.87
CamB       	  3.36	  0.73	  8.87	 1.50	  6.77	 13.72	  12.40
CamB       	  3.36	  0.90	 10.90	 1.50	  7.77	 14.80	   9.63
CamB       	  3.36	  1.06	 12.90	 1.50	  8.44	 15.24	   5.86
CamB       	  3.36	  1.22	 14.70	 1.50	  8.64	 15.11	   5.19
CamB       	  3.36	  1.47	 16.80	 1.50	  8.08	 15.90	   3.02
CamB       	  3.36	  1.79	 20.10	 1.50	  6.91	 14.91	   0.88
D512-2     	 15.20	  0.96	 22.90	 2.71	  4.08	 14.85	  16.45
D512-2     	 15.20	  1.92	 33.50	 2.71	  6.24	 21.20	   7.40
D512-2     	 15.20	  2.88	 37.20	 4.19	  7.45	 20.56	   2.72
D512-2     	 15.20	  3.83	 35.90	 5.98	  8.09	 20.08	   1.79
D564-8     	  8.79	  0.51	  8.54	 1.53	  3.47	  6.36	   6.37
D564-8     	  8.79	  1.02	 15.10	 1.41	  5.33	  8.66	   2.82
D564-8     	  8.79	  1.53	 19.80	 1.80	  6.34	  9.09	   1.19
D564-8     	  8.79	  2.04	 21.90	 1.82	  6.86	  8.75	   0.52
D564-8     	  8.79	  2.56	 24.00	 1.89	  7.05	  8.17	   0.22
D564-8     	  8.79	  3.07	 25.00	 2.05	  7.04	  7.65	   0.00
D631-7     	  7.72	  0.45	  8.41	 1.58	  8.40	  9.99	  26.06
D631-7     	  7.72	  0.90	 17.80	 2.22	 13.51	 15.52	  19.64
D631-7     	  7.72	  1.35	 26.00	 2.35	 16.70	 20.76	  12.17
D631-7     	  7.72	  1.80	 30.90	 2.22	 18.72	 21.37	   4.50
D631-7     	  7.72	  2.25	 34.70	 1.82	 19.90	 19.92	   2.10
D631-7     	  7.72	  2.69	 38.80	 1.81	 20.61	 18.76	   1.13
D631-7     	  7.72	  3.14	 42.50	 1.57	 20.73	 17.36	   0.54
D631-7     	  7.72	  3.59	 45.60	 1.59	 20.61	 16.32	   0.37
D631-7     	  7.72	  4.04	 48.80	 1.83	 20.38	 15.37	   0.18
D631-7     	  7.72	  4.49	 51.80	 1.91	 19.90	 14.49	   0.10
D631-7     	  7.72	  4.94	 54.80	 2.19	 19.43	 13.72	   0.05
D631-7     	  7.72	  5.39	 56.60	 2.73	 18.84	 13.04	   0.03
D631-7     	  7.72	  5.84	 58.40	 3.27	 18.25	 12.45	   0.01
D631-7     	  7.72	  6.29	 58.50	 3.95	 17.65	 11.93	   0.01
D631-7     	  7.72	  6.74	 57.70	 4.07	 17.06	 11.48	   0.00
D631-7     	  7.72	  7.19	 57.30	 3.94	 16.47	 11.08	   0.00
DDO064     	  6.80	  0.10	  6.29	 4.62	 -1.13	  1.96	  28.50
DDO064     	  6.80	  0.30	 13.90	 4.62	 -2.45	  6.31	  27.26
DDO064     	  6.80	  0.49	 15.60	 4.62	 -0.64	  9.67	  24.99
DDO064     	  6.80	  0.69	 18.40	 4.62	  2.49	 13.92	  20.86
DDO064     	  6.80	  0.89	 22.50	 4.62	  1.87	 15.16	  13.91
DDO064     	  6.80	  1.09	 26.50	 4.62	  4.97	 16.41	  11.73
DDO064     	  6.80	  1.29	 35.30	 4.62	  9.29	 17.34	  10.30
DDO064     	  6.80	  1.48	 40.50	 4.62	 13.62	 18.34	   7.96
DDO064     	  6.80	  1.68	 44.20	 4.89	 16.26	 19.12	   6.72
DDO064     	  6.80	  1.88	 46.30	 4.62	 18.16	 19.54	   3.97
DDO064     	  6.80	  2.08	 46.40	 4.62	 19.64	 19.10	   2.84
DDO064     	  6.80	  2.27	 46.30	 4.62	 20.17	 18.77	   2.16
DDO064     	  6.80	  2.37	 46.40	 6.73	 20.59	 18.61	   1.86
DDO064     	  6.80	  2.98	 46.90	 8.65	 22.17	 17.21	   0.00
DDO154     	  4.04	  0.49	 13.80	 1.60	  3.74	 12.31	  15.93
DDO154     	  4.04	  0.99	 21.60	 0.80	  7.46	 14.55	   5.52
DDO154     	  4.04	  1.48	 28.90	 0.70	 10.87	 12.95	   1.26
DDO154     	  4.04	  1.97	 34.30	 0.50	 13.32	 11.54	   0.29
DDO154     	  4.04	  2.47	 38.20	 0.40	 14.77	 10.18	   0.08
DDO154     	  4.04	  2.96	 42.00	 0.20	 16.20	  9.16	   0.02
DDO154     	  4.04	  3.46	 44.60	 0.20	 17.60	  8.37	   0.01
DDO154     	  4.04	  3.95	 46.30	 0.20	 17.91	  7.77	   0.00
DDO154     	  4.04	  4.44	 47.40	 0.30	 17.48	  7.29	   0.00
DDO154     	  4.04	  4.94	 48.20	 0.60	 16.93	  6.89	   0.00
DDO154     	  4.04	  5.43	 47.40	 0.70	 16.28	  6.55	   0.00
DDO154     	  4.04	  5.92	 45.50	 1.30	 15.64	  6.26	   0.00
DDO161     	  7.50	  0.60	 16.00	 3.53	  6.82	 12.59	  30.32
DDO161     	  7.50	  0.73	 16.60	 4.83	  8.12	 14.22	  27.69
DDO161     	  7.50	  0.85	 18.60	 2.50	  9.30	 15.27	  27.15
DDO161     	  7.50	  0.98	 20.00	 7.58	 10.41	 17.04	  25.71
DDO161     	  7.50	  1.07	 21.40	 4.03	 11.27	 18.03	  24.23
DDO161     	  7.50	  1.54	 28.90	 2.74	 15.22	 22.44	  17.21
